sep_threshold,avg_speed,sigma,avg_evac_time,avg_panic
1.5,1.4,0.01,718.4625,0.21615476996027774
1.5,1.6,0.01,639.2208333333333,0.21305491428766118
1.5,2.0,0.01,509.0875,0.2127192125627997
1.5,1.4,0.5,827.6208333333333,0.18468358771618534
1.5,1.6,0.5,727.0666666666667,0.18413759613388894
1.5,2.0,0.5,581.3333333333334,0.17917593579984017
2.0,1.4,0.01,771.8208333333333,0.1893603427579574
2.0,1.6,0.01,682.5083333333333,0.18648747107426467
2.0,2.0,0.01,558.1541666666667,0.18096691173907464
2.0,1.4,0.5,945.9416666666667,0.16551018303301793
2.0,1.6,0.5,797.6833333333333,0.15876938766743307
2.0,2.0,0.5,652.8041666666667,0.156462799764481
2.0,1.4,0.01,759.775,0.19064816256204045
2.0,1.6,0.01,678.4625,0.18615629795774832
2.0,2.0,0.01,562.8541666666666,0.17846587240904702
2.0,1.4,0.5,896.0625,0.1623856739209752
2.0,1.6,0.5,812.1833333333333,0.16167954662514136
2.0,2.0,0.5,680.7208333333333,0.1577467896442042
1.5,1.4,0.01,727.4625,0.21532428504600223
1.5,1.6,0.01,626.0375,0.21663714729497735
1.5,2.0,0.01,509.89166666666665,0.21104399513227978
1.5,1.4,0.5,858.4,0.18423183571465132
1.5,1.6,0.5,722.0458333333333,0.18487295565809755
1.5,2.0,0.5,585.7083333333334,0.18330357958333826
2.0,1.4,0.01,791.1458333333334,0.18542683480897637
2.0,1.6,0.01,681.0791666666667,0.1848702489980819
2.0,2.0,0.01,562.2291666666666,0.17878978994775271
2.0,1.4,0.5,885.2166666666667,0.16493019186019647
2.0,1.6,0.5,826.3333333333334,0.15835856512627836
2.0,2.0,0.5,670.5666666666667,0.15603871058116614
1.5,1.4,0.01,720.4833333333333,0.21649106049569541
1.5,1.6,0.01,637.9083333333333,0.2138182524538608
1.5,2.0,0.01,506.3875,0.21068806061378959
1.5,1.4,0.5,837.0,0.18801315546079964
1.5,1.6,0.5,717.8375,0.1814195364327073
1.5,2.0,0.5,585.5083333333333,0.18075171710833
2.0,1.4,0.01,784.2083333333334,0.1867056914505273
2.0,1.6,0.01,674.1333333333333,0.1856288353145508
2.0,2.0,0.01,559.5166666666667,0.1774493583645084
2.0,1.4,0.5,926.0583333333333,0.16286869007277432
2.0,1.6,0.5,766.4958333333333,0.16135597354451292
2.0,2.0,0.5,683.6333333333333,0.15836824881873196
1.5,1.4,0.01,722.225,0.21439717837934807
1.5,1.6,0.01,630.875,0.21435744919140431
1.5,2.0,0.01,506.05833333333334,0.21338490997904141
1.5,1.4,0.5,839.6,0.18770174720878993
1.5,1.6,0.5,685.5958333333333,0.17811921420734098
1.5,2.0,0.5,561.6291666666667,0.17736515197854724
2.0,1.4,0.01,777.5666666666667,0.18585442695408488
2.0,1.6,0.01,685.7125,0.18475411257035512
2.0,2.0,0.01,572.2208333333333,0.1722087455696651
2.0,1.4,0.5,898.8583333333333,0.16377974281843113
2.0,1.6,0.5,831.7583333333333,0.1600051540990478
2.0,2.0,0.5,696.0208333333334,0.15514406855603197
1.5,1.4,0.01,722.2375,0.21365638225878988
1.5,1.6,0.01,633.2791666666667,0.21293841219128254
1.5,2.0,0.01,506.8333333333333,0.21458859548794787
1.5,1.4,0.5,816.7875,0.18895853578048777
1.5,1.6,0.5,724.525,0.18305518644512062
1.5,2.0,0.5,586.1458333333334,0.18373934243751713
