sep_threshold,avg_speed,sigma,avg_evac_time,avg_panic
1.5,1.4,0.01,483.8333333333333,0.19410667590005498
1.5,1.6,0.01,432.40833333333336,0.19254507370460677
1.5,2.0,0.01,348.6875,0.1932255388693321
1.5,1.4,0.5,569.3375,0.17415767207150226
1.5,1.6,0.5,490.26666666666665,0.1726111865953933
1.5,2.0,0.5,399.3958333333333,0.16922782282200022
2.0,1.4,0.01,563.4166666666666,0.16984310496106428
2.0,1.6,0.01,509.4916666666667,0.16356477282290235
2.0,2.0,0.01,417.8,0.15818776065231266
2.0,1.4,0.5,654.725,0.15363336654706178
2.0,1.6,0.5,600.2208333333333,0.15186847646490076
2.0,2.0,0.5,458.4,0.1489037192106379
2.0,1.4,0.01,558.0125,0.1694085293068864
2.0,1.6,0.01,498.25,0.16710940545455824
2.0,2.0,0.01,418.4625,0.15731825874090605
2.0,1.4,0.5,652.8958333333334,0.1535046515852878
2.0,1.6,0.5,607.9041666666667,0.15161502648969674
2.0,2.0,0.5,468.34166666666664,0.1459095455867441
1.5,1.4,0.01,489.2875,0.19507602346255268
1.5,1.6,0.01,425.43333333333334,0.19410514918138896
1.5,2.0,0.01,339.7125,0.19341247368968453
1.5,1.4,0.5,580.5,0.1749057527557644
1.5,1.6,0.5,497.1125,0.17082564186615873
1.5,2.0,0.5,415.1375,0.1709943716549388
2.0,1.4,0.01,569.9208333333333,0.16794218505846809
2.0,1.6,0.01,502.4291666666667,0.16459638571529356
2.0,1.4,0.01,569.9208333333333,0.16794218505846809
2.0,1.6,0.01,502.4291666666667,0.16459638571529356
2.0,1.6,0.01,502.4291666666667,0.16459638571529356
2.0,2.0,0.01,427.40833333333336,0.15566049073295277
2.0,1.4,0.5,647.0166666666667,0.15317411527014163
2.0,1.6,0.5,566.4875,0.15000381095917495
2.0,2.0,0.5,523.6958333333333,0.15161298490216582
1.5,1.4,0.01,489.9791666666667,0.19443561285273894
1.5,1.6,0.01,423.39166666666665,0.19340899806526998
1.5,2.0,0.01,340.74583333333334,0.19234301870888112
1.5,1.4,0.5,583.4208333333333,0.17058862033049868
1.5,1.6,0.5,526.2583333333333,0.17268858534099957
1.5,2.0,0.5,399.8333333333333,0.1643241456019697
2.0,1.4,0.5,647.0166666666667,0.15317411527014163
2.0,1.6,0.5,566.4875,0.15000381095917495
2.0,2.0,0.5,523.6958333333333,0.15161298490216582
1.5,1.4,0.01,489.9791666666667,0.19443561285273894
1.5,1.6,0.01,423.39166666666665,0.19340899806526998
1.5,2.0,0.01,340.74583333333334,0.19234301870888112
1.5,1.4,0.5,583.4208333333333,0.17058862033049868
1.5,1.6,0.5,526.2583333333333,0.17268858534099957
1.5,2.0,0.5,399.8333333333333,0.1643241456019697
1.5,1.6,0.01,423.39166666666665,0.19340899806526998
1.5,2.0,0.01,340.74583333333334,0.19234301870888112
1.5,1.4,0.5,583.4208333333333,0.17058862033049868
1.5,1.6,0.5,526.2583333333333,0.17268858534099957
1.5,2.0,0.5,399.8333333333333,0.1643241456019697
1.5,1.6,0.5,526.2583333333333,0.17268858534099957
1.5,2.0,0.5,399.8333333333333,0.1643241456019697
2.0,1.4,0.01,572.125,0.16578166544474313
2.0,1.6,0.01,510.3541666666667,0.1637158011964105
2.0,2.0,0.01,413.99583333333334,0.1583383897801256
2.0,1.4,0.5,653.6791666666667,0.1532168308133925
2.0,1.6,0.5,576.6041666666666,0.15008318592721695
